,data,type
0,i feel like this beats out just about any popular high end foundation on the market at either ulta or sephora,joy
1,i am feeling tranquil today,joy
2,i woke up early and felt strangely alert and good in contrast to my usual mornings feeling groggy cranky and sore,sadness
3,i really can carry a grudge for a long time against those i feel have wronged or hurt me in someway whether they are aware of it or not,anger
4,i feel damn agitated during the speech,anger
5,i have a feeling that jeremy is not going to be too keen on the vinegary smell that calli is giving off right now,joy
6,i feel really lethargic today and just cant be bothered with much,sadness
7,im feeling good i increase,joy
8,i feel a bit overwhelmed in some areas so i may come off as whiney,surprise
9,i am doing this and makes me feel more determined to give it some effort and dig deep when im feeling the pain,joy
10,i begin to write back to god expressing to him my thoughts and feelings my fears my desires during those times are when i feel my soul being content,joy
11,i feel like i m falling quicker and quicker but i m not quite sure what i m falling into i m calling it love because that s what it feels like since my heart is beating rapidly and i can t seem to keep this tiny little smile off my face no matter what hour of the day,joy
12,i just need to express my feeling badly ignore this if i offended you,anger
13,i feel that i no longer have to do things to look cool,joy
14,i feel totally completely accepted and loved while my heavenly abba was pointing out sin in my life,love
15,i feel even more regretful that i didnt get to go to her senior presentation,sadness
16,i encourage you next time youre feeling a little uncomfortable do your best to embrace it,fear
17,i sometimes feel nostalgic happy restless angry all at the same time,love
18,i have to think for days what to text him and i feel really nervous if he doesnt answer,fear
19,i feel shocked that my photo was chosen as the best photo of the week,surprise
20,i flung into my suitcase at the last minute didn t break on the crossing over or explode in the pressurized cabin so thus far i m feeling pretty splendid about things,joy
21,i went to registration passed an uneventful five minutes feeling deeply amused,joy
22,i suggest before you begin you take some time to reflect on your relationships and understand what specifically makes you feel valued and loved and what makes you feel insecure and unnecessary,joy
23,ive found that when i make a simple mistake or i really screw up i feel foolish guilty and like i will never be myself again,sadness
24,i was feeling pretty triumphant i had held a little conversation with the cashier and she didn t realize i was deaf,joy
25,i make punjabi lobia masala mostly during winters as i feel the protein punch and spice rich recipe is a winter warmer one,joy
26,i feel a pain in my own heart as every priestess in the temple drops as every single ven who is devoted to talia loses their devotions and takes a rank of injury equal to their devotion,love
27,i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy
28,i find myself more and more lately feeling like i m a shitty wife and mom,sadness
29,i really feel like there s a talented artist buried somewhere inside of ethan,joy
30,i don t feel particularly agitated,fear
31,i really cant count the number of times i cried feeling overwhelmed by someones expression of concern or just by the very fact that they were thinking of me,fear
32,told by some people the class leader only choose his friends not true,anger
33,i feel shitty because she quit a job to come here but there is only so much hand holding and training that i am willing to do,sadness
34,i spent much of the morning feeling like an impostor or a visitor in someone elses life and uncertain what if anything i should do next,fear
35,i feel the need to tell you that phone calls do provide some useful purpose as annoying as they may be,joy
36,i feel kinda strange too cause i didnt encountered with such feelings last year,surprise
37,i feel like im so distracted most days,anger
38,i was feeling this really weird sense of isolation that would have creeped me out pretty bad if i was alone,surprise
39,i didnt feel surprised i didnt feel upset i didnt feel angry i didnt feel anything,surprise
40,i just feel like if i don t suffer to produce something then it s not worthwhile,joy
41,im feeling rotten and pretending it just aint so,sadness
42,i like to pray a decade whenever im feeling stressed or scared,anger
43,i reluctantly ate a piece of string cheese but i was both cranky that i hadn t lost more weight and feeling vain about the way i was looking ironic i know so i decided to throw up again,sadness
44,i feel more aggravated and annoyed by their visits,anger
45,ive got a feeling that some day it is not only me who is proud of myself but my family will be too,joy
46,ive been feeling distressed,fear
47,i feel it is really valuable to contemplate on that phrase thy will be done in all of our lives,joy
48,i left the theater feeling sad and alone the sudden realization of my own fleeting mortality weighing down each and every step,sadness
49,i also feel devoted to my profession because i get ever so annoyed when i see things that would adversely bring adverse publicity on our profession like some hearnsays from ill informed patients the media and some ignorant politicians making use of health care as a tool to boost their publicity,love
50,i am so blessed and feel blessed to be able to share my creations with you,joy
51,i feel a little discouraged here,sadness
52,i just want to achieve something to make myself feel worthwhile to dig myself out of this gaping hole of depression and ridiculous anguish i feel every day,joy
53,i know im quite selfish but sometimes i feel like i dont want to throw everything just for something that is uncertain,fear
54,i just feel like i did last weeks what im loving wednesday post yesterday,love
55,i was curious why paying for two large sandwiches would make him feel respected,joy
56,i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,joy
57,i feel like maybe everything is resolved for once and all and i can get on to living my life after almost years,joy
58,i have to emphasize the feeling of lost and found,sadness
59,i swear is releasing my neighbors inner crazy weve had cops called on our block like out of days this week im feeling inspired,joy
60,i find myself feeling paranoid that something is going to ruin what could only be described as my fairy tale love affair,fear
61,im feeling ugly lately,sadness
62,i was feeling quite groggy in the days before the race the glands in my neck were sore and swollen and i could tell my body was fighting a bug of some kind,sadness
63,i feel safe around you and i never wanna lose you or let you go ever,joy
64,i was feeling like a pretty crappy mom,sadness
65,i feel like my mind is blank and empty,sadness
66,i visit m ller in my country and go to the expensive make up stands the sales assistants are always standing right next to me and looking at me like im going to steal something so i feel really uncomfortable shopping there,fear
67,i feel exhausted just by writing that,sadness
68,i am feeling really needy right now,sadness
69,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,joy
70,i feel like one of those devoted fans who follows their favorite band while they are on tour only years late,love
71,i feel like he deserves to be hated and i want him to know exactly how much i do,sadness
72,i can t get past is that feeling when a friend walks out of your life and you re unsure why that feeling of not being valued or important enough,fear
73,i feel invigorated and jolly,joy
74,i havent exactly felt too positive lately so feel free to remind me of things ive missed in the comments if youd like,joy
75,i am feeling more energetic more alive happier than i have in a long time,joy
76,i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido yeah hey yay im worse at what i do best and for this gift i feel blessed our little group has always been and always will until the end hello hello hello how low,sadness
77,i left malaysia feeling pleased that i d finished my first full race and excited about what we achieved on sunday at sepang,joy
78,i can not acquaint the reason just because i feel acceptable if cutting links london jewelry,joy
79,i am feeling sinfully horny this sunday morning,love
80,ive been frustrated that i dont walk around floating on air seeing the good in every sidewalk pothole i trip into beating myself up over feeling unsure and scared,fear
81,i feel so pretty in them it doesnt matter how un glamorous the task is,joy
82,i feel exhausted after i am done reading its like i live multiple lives all at once in the span of a day,sadness
83,i feel super warm and nice so i smile or i cry,joy
84,i sometimes feel quite isolated as we live in a regional area so i often think,sadness
85,i used to feel from your music is now gone and it has been replaced by a bitter taste in my mouth and a lot of sadness,anger
86,i want to be able to declare how excited i am in the most sickening sing songy voice that anyone has ever heard but frankly i feel more terrified than anything,fear
87,im feeling rather cranky and impatient with my little one,anger
88,i have to take jenny in to be spayed so of course im feeling nervous and guilty,fear
89,i had seen a solopgangfor to see the love in my woman s eyes feel the touch of a precious barnog know a mother s love,joy
90,i mention this seemingly obvious little tidbit is that either many of my friends have an innate inability to understand this or they feel hurt and neglected because of it,sadness
91,i now don t want to feel slutty,love
92,i feel totally drained emotionally and physically the holy spirit never ceases to fill me up and speak to me,sadness
93,i feel like its resolved whereas before there was some negativity there,joy
94,i love my tango family sometimes especially when i m feeling ugly and awkward and like an outsider i need something from tango that i can t get when i know everyone at the milonga,sadness
95,i know jack and he doesnt give up on men easy he just dumps them when he feels successful,joy
96,i are feeling somewhat indecisive about what we want to do to celebrate our anniversary,fear
97,i was dreading it and feeling irritable,anger
98,i decided to lay down in my bed but then i started to feel really violent like i wanted to punch and kick things except i didnt wnat to hurt anything,anger
99,i seek out pain to feel tortured just to feel something,fear
100,i feel weird knowing mine died when i wasn t around,surprise
101,i feel so excited for college,joy
102,i feel lethargic and overheated all the time,sadness
103,i am sorry if you feel offended by my humorous statement my friend,anger
104,i am under pressure at the place i spend most of my week on past experience i will tend to feel more unhappy for longer periods,sadness
105,i would have liked to go but that i wouldnt leave without reason because that would feel highly uncomfortable,fear
106,im not too jazzed about the first image but even before i have finished this one i am already feeling proud,joy
107,i ever recognized what it was to feel passionate about something was with music,love
108,i pray the rosary i feel a sense of calm upon me,joy
109,i do my best but it feels uncomfortable,fear
110,i feel so strange sitting here blogging away amp not having to study,fear
111,i think i should ignre this feeling for the sake of our precious friendship,joy
112,i feel now i am not giving all of me to christ and i want to be devoted,love
113,i would give everything to know you share my pain feel the aching caused by our parting,sadness
114,im feeling terrible i couldnt feel worse,sadness
115,i think we ve all known the tyrant he dedicates his whole life to making money so he can use it to feel superior and control those in his life,joy
116,i feel happy about myself hes the reason why i am where i am today,joy
117,i was feeling even less splendid and had nothing that needed to be done all day so i decided to baby myself,joy
118,i am feeling a bit ungrateful and choose to correct that,sadness
119,i feel carefree and spontaneous i feel like nothing could stop me,joy
120,i feel helpless and lacking right at this moment all i want to do is go to edmonton and then wainwright and look after david,sadness
121,i constantly feel lied to and wronged by them i love these people to death,anger
122,i also feel friendly and generous toward him glad to hear that he and michelle were able to go out for dinner at their favorite italian restaurant in downtown chicago and stay out for hours,joy
123,i can feel she still angry with me,anger
124,i feel freaked like im not safe anywhere i run,joy
125,i havent exactly gone for a spin around the block yet since id feel strange strapping in a teddy bear in place of a baby but it looks nice and sturdy and like it will do the trick,fear
126,i recall seeing leaves falling off a tree set against a grey sky and feeling absolutely terrified,fear
127,im home and feeling a bit low,sadness
128,i was feeling more appreciative,joy
129,i woke up i feel thankful to god for giving me another day to go on,joy
130,i was still feeling like i wasn t accepted and had no one else to go to,joy
131,im not even talking about the clammy feeling of those lovely hot flashes not at all,love
