,data,label,type
0,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,0,ham
1,"Nothing much, chillin at home. Any super bowl plan?",0,ham
2,Boo. How's things? I'm back at home and a little bored already :-(,0,ham
3,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",0,ham
4,"Geeeee ... Your internet is really bad today, eh ?",0,ham
5,Where @,0,ham
6,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,ham
7,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,0,ham
8,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",0,ham
9,I'm in a movie... Collect car oredi...,0,ham
10,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",0,ham
11,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,0,ham
12,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm,0,ham
13,What's ur pin?,0,ham
14,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",0,ham
15,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,0,ham
16,I liked your new house,0,ham
17,May b approve panalam...but it should have more posts..,0,ham
18,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,0,ham
19,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",1,spam
20,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,0,ham
21,"Aight, let me know when you're gonna be around usf",0,ham
22,I'm home.,0,ham
23,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,0,ham
24,K. Did you call me just now ah? ,0,ham
25,She's fine. Good to hear from you. How are you my dear? Happy new year oh.,0,ham
26,Have a good trip. Watch out for . Remember when you get back we must decide about easter.,0,ham
27,Oh really?? Did you make it on air? What's your talent?,0,ham
28,Its sunny in california. The weather's just cool,0,ham
29,You can jot down things you want to remember later.,0,ham
30,Infact happy new year. How are you where are you when are we seeing,0,ham
31,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,0,ham
32,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,0,ham
33,Wen did you get so spiritual and deep. That's great,0,ham
34,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",0,ham
35,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0,ham
36,It should take about  &lt;#&gt;  min,0,ham
37,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,1,spam
38,Wat uniform? In where get?,0,ham
39,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",0,ham
40,"Hurry up, I've been weed-deficient for like three days",0,ham
41,I'm always looking for an excuse to be in the city.,0,ham
42,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,1,spam
43,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,0,ham
44,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,0,ham
45,I dont know why she.s not getting your messages,0,ham
46, what number do u live at? Is it 11?,0,ham
