,data,label,type
0,"""For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk""",1,spam
1,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",0,ham
2,Draw va?i dont think so:),0,ham
3,Ü wait 4 me in sch i finish ard 5..,0,ham
4,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,0,ham
5,Hey i'm bored... So i'm thinking of u... So wat r u doing?,0,ham
6,Are you at work right now ?,0,ham
7,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA,1,spam
8,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,0,ham
9,Nobody names their penis a girls name this story doesn't add up at all,0,ham
10,In fact when do you leave? I think addie goes back to school tues or wed,0,ham
11,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,0,ham
12,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",0,ham
13,PRIVATE! Your 2003 Account Statement for 078,1,spam
14,Oh god. I'm gonna Google nearby cliffs now.,0,ham
15,Really dun bluff me leh... U sleep early too. Nite...,0,ham
16,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy,0,ham
17,"And how you will do that, princess? :)",0,ham
18,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*",0,ham
19,"Yeah probably, I still gotta check out with leo",0,ham
20,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",1,spam
21,Just come home. I don't want u to be miserable,0,ham
22,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,1,spam
23,Please CALL 08712402972 immediately as there is an urgent message waiting for you,1,spam
24,Where you. What happen,0,ham
25,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",1,spam
26,Shall call now dear having food,0,ham
27,Then u go back urself lor...,0,ham
28,If you ask her or she say any please message.,0,ham
29,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,0,ham
30,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,0,ham
31,S but mostly not like that.,0,ham
32,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",1,spam
33,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,0,ham
34,Win a £1000 cash prize or a prize worth £5000,1,spam
35,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.,0,ham
36,"""Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx""",0,ham
37,Please sen :)my kind advice :-)please come here and try:-),0,ham
38,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,0,ham
39,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,0,ham
40,I'll be at mu in like  &lt;#&gt;  seconds,0,ham
41,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,1,spam
42,"Omw back to tampa from west palm, you hear what happened?",0,ham
43,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,0,ham
44,We left already we at orchard now.,0,ham
45,"Not yet chikku..going to room nw, i'm in bus..",0,ham
46,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!,0,ham
47,(You didn't hear it from me),0,ham
48,I'm leaving my house now...,0,ham
49,Ok lar... Joking wif u oni...,0,ham
50,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,0,ham
51,Hey whats up? U sleeping all morning?,0,ham
52,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,0,ham
53,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,1,spam
54,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,0,ham
55,Yunny i'm walking in citylink now ü faster come down... Me very hungry...,0,ham
56,"I av a new number,  . Wil u only use this one,ta.",0,ham
57,Thats cool. I want to please you...,0,ham
58,I was about to do it when i texted. I finished a long time ago and showered and er'ything!,0,ham
59,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1,spam
60,Po de :-):):-):-):-). No need job aha.,0,ham
61,HMM yeah if your not too grooved out! And im looking forward to my pound special :),0,ham
62,Boy you best get yo ass out here quick,0,ham
63,Have you seen who's back at Holby?!,0,ham
64,Yeah jay's sort of a fucking retard,0,ham
65,Then we wait 4 u lor... No need 2 feel bad lar...,0,ham
66,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",0,ham
67,Neshanth..tel me who r u?,0,ham
68,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",0,ham
69,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,0,ham
70,Where at were hungry too,0,ham
71,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,1,spam
72,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs,0,ham
73,Sorry * was at the grocers.,0,ham
74,"K I'm ready,  &lt;#&gt; ?",0,ham
75,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,0,ham
76,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................,0,ham
77,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,1,spam
78,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),0,ham
79,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,0,ham
80,My uncles in Atlanta. Wish you guys a great semester.,0,ham
81,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only,1,spam
82,Hi where you. You in home or calicut?,0,ham
83,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.,1,spam
84,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,0,ham
85,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",0,ham
86,I have a sore throat. It's scratches when I talk,0,ham
87,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want",0,ham
88,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,1,spam
89,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,0,ham
90,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",0,ham
91,Or I guess  &lt;#&gt;  min,0,ham
92,ARR birthday today:) i wish him to get more oscar.,0,ham
93,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,1,spam
94,Yes princess! I want to please you every night. Your wish is my command...,0,ham
95,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,0,ham
96,Lovely smell on this bus and it ain't tobacco... ,0,ham
97,It only does simple arithmetic not percentages.,0,ham
98,How are you holding up?,0,ham
99,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),0,ham
100,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch,0,ham
101,Cab is available.they pick up and drop at door steps.,0,ham
102,Ok. No wahala. Just remember that a friend in need ...,0,ham
103,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!,1,spam
104,"One of best dialogue in cute reltnship..!! ""Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8",0,ham
105,"Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!",0,ham
106,K..k:)where are you?how did you performed?,0,ham
107,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,0,ham
108,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,ham
109,Why didn't u call on your lunch?,0,ham
110,Its normally hot mail. Com you see!,0,ham
111,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,0,ham
112,Sounds like something that someone testing me would sayy,0,ham
113,A bloo bloo bloo I'll miss the first bowl,0,ham
114,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1,spam
115,Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,0,ham
116,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,ham
117,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,1,spam
118,"Tonight? Yeah, I'd be down for that",0,ham
119,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",1,spam
120,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)",0,ham
121,Audrie lousy autocorrect,0,ham
122,Just finished eating. Got u a plate. NOT leftovers this time.,0,ham
123,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,0,ham
124,He also knows about lunch menu only da. . I know,0,ham
125,"Latest News! Police station toilet stolen, cops have nothing to go on!",1,spam
126,HELLO PEACH! MY CAKE TASTS LUSH!,0,ham
127,Ok then i'll let him noe later n ask him call u tmr...,0,ham
128,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,1,spam
129,Dai what this da.. Can i send my resume to this id.,0,ham
130,Ooooooh I forgot to tell u I can get on yoville on my phone,0,ham
131,Ok i go change also...,0,ham
132,Badrith is only for chennai:)i will surely pick for us:)no competition for him.,0,ham
133,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",1,spam
134,En chikku nange bakra msg kalstiya..then had tea/coffee?,0,ham
135,Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,1,spam
136,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,0,ham
137,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,1,spam
138,IM GONNA MISS U SO MUCH,0,ham
139,Where are you call me.,0,ham
140,You all ready for * big day tomorrow?,0,ham
141,"Goodnight, sleep well da please take care pa. Please.",0,ham
142,Beerage?,0,ham
143,"Aight, I'll ask a few of my roommates",0,ham
144,I hope your pee burns tonite.,0,ham
145,It certainly puts things into perspective when something like this happens,0,ham
146,"""Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?""",0,ham
147,Spoons it is then okay?,0,ham
148,His bday real is in april .,0,ham
149,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date.",0,ham
150,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,0,ham
151,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,0,ham
152,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,1,spam
153,And you! Will expect you whenever you text! Hope all goes well tomo ,0,ham
154,Horrible gal. Me in sch doing some stuff. How come u got mc?,0,ham
155,What's the significance?,0,ham
